time,open,high,low,close,VWAP - Daily,SD#1 VAH,SD#1 VAL
1745625600,94638.68,95199,93870.69,94628,91754.22690829408,99772.58298202748,83735.87083456067
1745712000,94628,95369,93602.58,93749.3,91761.93963187031,99769.00969685141,83754.8695668892
1745798400,93749.29,95630,92800.01,95011.18,91780.58368319453,99763.29013366211,83797.87723272695
1745884800,95011.18,95461.53,93742.54,94256.82,91794.70383158672,99758.97306349016,83830.43459968329
1745971200,94256.82,95228.45,92910,94172,91807.13537359313,99751.81780139201,83862.45294579426
1746057600,94172,97424.02,94130.43,96489.91,91834.79705943356,99760.68597946428,83908.90813940285
1746144000,96489.9,97895.68,96350,96887.14,91861.27782256433,99775.69523626287,83946.86040886579
1746230400,96887.13,96935.67,95753.01,95856.42,91873.53573896138,99780.08490798667,83966.98656993608
1746316800,95856.42,96304.48,94151.38,94277.62,91884.07904256927,99779.08936848592,83989.06871665262
1746403200,94277.61,95199,93514.1,94733.68,91897.38664224106,99774.47040758966,84020.30287689247
1746489600,94733.68,96920.65,93377,96834.02,91916.96696724846,99778.52843332474,84055.40550117218
1746576000,96834.02,97732,95784.61,97030.5,91944.31412745177,99792.61325325855,84096.01500164499
1746662400,97030.5,104145.76,96876.29,103261.6,92047.59237039034,99914.97806581657,84180.20667496411
1746748800,103261.61,104361.3,102315.14,102971.99,92131.81940926859,100028.82573802881,84234.81308050836
1746835200,102971.99,104984.57,102818.76,104809.53,92179.36561191312,100096.99640376434,84261.7348200619
1746921600,104809.53,104972,103345.06,104118,92234.8357208786,100175.79015105075,84293.88129070646
1747008000,104118,105819.45,100718.37,102791.32,92331.17535114454,100302.32086011456,84360.02984217452
1747094400,102791.32,104976.25,101429.7,104103.72,92400.03855057912,100394.58563169664,84405.4914694616
1747180800,104103.72,104356.95,102602.05,103507.82,92454.08997887965,100466.44498030294,84441.73497745636
1747267200,103507.83,104192.7,101383.07,103763.71,92511.84536168475,100540.68906222285,84483.00166114666
1767225600,87648.21,88919.45,87550.43,88839.04,88406.6131148795,88406.6131148795,88406.6131148795
1767312000,88839.05,90961.81,88379.88,89995.13,89421.47535983198,90012.35796274587,88830.5927569181
1767398400,89995.14,90741.16,89314.01,90628.01,89596.24593209707,90214.58854462799,88977.90331956615
1767484800,90628.01,91810,90628,91529.73,90008.37419019573,90919.83935320504,89096.90902718641
